timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739580026088,12,Show Add Form,200,,MainThreadGroup 1-92,text,true,,842,129,37,37,http://192.168.1.107:8080/books/add,10,0,0
1739580026095,9,Show Edit Form,200,,MainThreadGroup 1-73,text,true,,900,134,37,37,http://192.168.1.107:8080/books/edit/277,9,0,0
1739580026090,19,Show List Form,200,,MainThreadGroup 1-97,text,true,,46281,185,37,37,http://192.168.1.107:8080/books,15,0,0
1739580026071,45,Update Book,200,,MainThreadGroup 1-69,text,true,,46467,399,37,37,http://192.168.1.107:8080/books,24,0,0
1739580026071,24,Update Book-0,302,,MainThreadGroup 1-69,,true,,186,274,37,37,http://192.168.1.107:8080/books/update/273,24,0,0
1739580026095,21,Update Book-1,200,,MainThreadGroup 1-69,text,true,,46281,125,37,37,http://192.168.1.107:8080/books,17,0,0
1739580026133,0,Debug Sampler,200,OK,MainThreadGroup 1-78,text,true,,515,0,37,37,null,0,0,0
1739580026118,36,Delete Book,200,,MainThreadGroup 1-64,text,true,,46201,261,37,37,http://192.168.1.107:8080/books,17,0,0
1739580026118,17,Delete Book-0,302,,MainThreadGroup 1-64,,true,,186,136,37,37,http://192.168.1.107:8080/books/delete/269,17,0,0
1739580026135,19,Delete Book-1,200,,MainThreadGroup 1-64,text,true,,46015,125,37,37,http://192.168.1.107:8080/books,13,0,0
1739580026145,24,Delete Book,200,,MainThreadGroup 1-65,text,true,,46201,261,36,36,http://192.168.1.107:8080/books,7,0,0
1739580026145,7,Delete Book-0,302,,MainThreadGroup 1-65,,true,,186,136,36,36,http://192.168.1.107:8080/books/delete/269,7,0,0
1739580026152,17,Delete Book-1,200,,MainThreadGroup 1-65,text,true,,46015,125,36,36,http://192.168.1.107:8080/books,15,0,0
1739580026159,13,Show Edit Form,200,,MainThreadGroup 1-74,text,true,,900,134,35,35,http://192.168.1.107:8080/books/edit/278,12,0,0
1739580026166,14,Show List Form,200,,MainThreadGroup 1-98,text,true,,46015,185,35,35,http://192.168.1.107:8080/books,11,0,1
1739580026187,3,JDBC Request,200,OK,MainThreadGroup 1-83,text,true,,7,0,35,35,null,3,0,0
1739580026193,12,Show Add Form,200,,MainThreadGroup 1-93,text,true,,842,129,35,35,http://192.168.1.107:8080/books/add,12,0,0
1739580026176,39,Update Book,200,,MainThreadGroup 1-70,text,true,,46467,399,35,35,http://192.168.1.107:8080/books,23,0,0
1739580026176,23,Update Book-0,302,,MainThreadGroup 1-70,,true,,186,274,35,35,http://192.168.1.107:8080/books/update/274,23,0,0
1739580026199,16,Update Book-1,200,,MainThreadGroup 1-70,text,true,,46281,125,35,35,http://192.168.1.107:8080/books,16,0,0
1739580026180,37,Add Book POST,200,,MainThreadGroup 1-88,text,true,,46467,389,35,35,http://192.168.1.107:8080/books,24,0,0
1739580026180,24,Add Book POST-0,302,,MainThreadGroup 1-88,,true,,186,264,35,35,http://192.168.1.107:8080/books/add,24,0,0
1739580026204,13,Add Book POST-1,200,,MainThreadGroup 1-88,text,true,,46281,125,35,35,http://192.168.1.107:8080/books,11,0,0
1739580026231,1,Debug Sampler,200,OK,MainThreadGroup 1-79,text,true,,515,0,35,35,null,0,0,0
1739580026229,11,Show Edit Form,200,,MainThreadGroup 1-75,text,true,,900,134,35,35,http://192.168.1.107:8080/books/edit/279,11,0,0
1739580026250,3,JDBC Request,200,OK,MainThreadGroup 1-84,text,true,,7,0,35,35,null,3,0,0
1739580026229,40,Delete Book,200,,MainThreadGroup 1-66,text,true,,46460,261,35,35,http://192.168.1.107:8080/books,19,0,0
1739580026229,19,Delete Book-0,302,,MainThreadGroup 1-66,,true,,186,136,35,35,http://192.168.1.107:8080/books/delete/270,19,0,0
1739580026251,18,Delete Book-1,200,,MainThreadGroup 1-66,text,true,,46274,125,35,35,http://192.168.1.107:8080/books,11,0,0
1739580026262,11,Show Add Form,200,,MainThreadGroup 1-94,text,true,,842,129,34,34,http://192.168.1.107:8080/books/add,11,0,0
1739580026278,0,Debug Sampler,200,OK,MainThreadGroup 1-80,text,true,,515,0,34,34,null,0,0,0
1739580026233,49,Add Book POST,200,,MainThreadGroup 1-89,text,true,,46460,389,34,34,http://192.168.1.107:8080/books,24,0,0
1739580026233,24,Add Book POST-0,302,,MainThreadGroup 1-89,,true,,186,264,34,34,http://192.168.1.107:8080/books/add,24,0,0
1739580026257,25,Add Book POST-1,200,,MainThreadGroup 1-89,text,true,,46274,125,34,34,http://192.168.1.107:8080/books,18,0,0
1739580026262,38,Show List Form,200,,MainThreadGroup 1-99,text,true,,46274,185,34,34,http://192.168.1.107:8080/books,36,0,2
1739580026267,37,Update Book,200,,MainThreadGroup 1-71,text,true,,46467,399,34,34,http://192.168.1.107:8080/books,21,0,0
